case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_2,48,200,58.16,FAKE,2025-11-14T11:02:44
fake_2,49,200,54.79,FAKE,2025-11-14T11:02:44
fake_2,50,200,67.5,FAKE,2025-11-14T11:02:45
fake_2,51,200,58.35,FAKE,2025-11-14T11:02:45
fake_2,52,200,76.68,FAKE,2025-11-14T11:02:45
fake_2,53,200,74.97,FAKE,2025-11-14T11:02:45
fake_2,54,200,70.47,FAKE,2025-11-14T11:02:45
fake_2,55,200,77.07,FAKE,2025-11-14T11:02:45
fake_2,56,200,59.26,FAKE,2025-11-14T11:02:45
fake_2,57,200,68.24,FAKE,2025-11-14T11:02:45
fake_2,58,200,72.03,FAKE,2025-11-14T11:02:45
fake_2,59,200,59.49,FAKE,2025-11-14T11:02:45
fake_2,60,200,60.85,FAKE,2025-11-14T11:02:45
fake_2,61,200,55.63,FAKE,2025-11-14T11:02:45
fake_2,62,200,57.51,FAKE,2025-11-14T11:02:45
fake_2,63,200,59.1,FAKE,2025-11-14T11:02:45
fake_2,64,200,77.03,FAKE,2025-11-14T11:02:45
fake_2,65,200,63.48,FAKE,2025-11-14T11:02:46
fake_2,66,200,77.25,FAKE,2025-11-14T11:02:46
fake_2,67,200,58.19,FAKE,2025-11-14T11:02:46
fake_2,68,200,75.85,FAKE,2025-11-14T11:02:46
fake_2,69,200,73.21,FAKE,2025-11-14T11:02:46
fake_2,70,200,58.19,FAKE,2025-11-14T11:02:46
fake_2,71,200,61.96,FAKE,2025-11-14T11:02:46
fake_2,72,200,79.64,FAKE,2025-11-14T11:02:46
fake_2,73,200,74.37,FAKE,2025-11-14T11:02:46
fake_2,74,200,62.02,FAKE,2025-11-14T11:02:46
fake_2,75,200,65.39,FAKE,2025-11-14T11:02:46
fake_2,76,200,73.78,FAKE,2025-11-14T11:02:46
fake_2,77,200,76.28,FAKE,2025-11-14T11:02:46
fake_2,78,200,59.35,FAKE,2025-11-14T11:02:46
fake_2,79,200,77.23,FAKE,2025-11-14T11:02:47
fake_2,80,200,61.59,FAKE,2025-11-14T11:02:47
fake_2,81,200,68.1,FAKE,2025-11-14T11:02:47
fake_2,82,200,71.1,FAKE,2025-11-14T11:02:47
fake_2,83,200,80.61,FAKE,2025-11-14T11:02:47
fake_2,84,200,62.69,FAKE,2025-11-14T11:02:47
fake_2,85,200,88.77,FAKE,2025-11-14T11:02:47
fake_2,86,200,94.26,FAKE,2025-11-14T11:02:47
fake_2,87,200,59.78,FAKE,2025-11-14T11:02:47
fake_2,88,200,69.33,FAKE,2025-11-14T11:02:47
fake_2,89,200,75.03,FAKE,2025-11-14T11:02:47
fake_2,90,200,76.76,FAKE,2025-11-14T11:02:47
fake_2,91,200,82.97,FAKE,2025-11-14T11:02:47
fake_2,92,200,63.32,FAKE,2025-11-14T11:02:47
fake_2,93,200,65.48,FAKE,2025-11-14T11:02:48
fake_2,94,200,73.37,FAKE,2025-11-14T11:02:48
fake_2,95,200,61.96,FAKE,2025-11-14T11:02:48
fake_2,96,200,86.2,FAKE,2025-11-14T11:02:48
fake_2,97,200,73.97,FAKE,2025-11-14T11:02:48
fake_2,98,200,75.23,FAKE,2025-11-14T11:02:48
fake_2,99,200,70.86,FAKE,2025-11-14T11:02:48
fake_2,100,200,86.12,FAKE,2025-11-14T11:02:48
real_1,1,200,79.32,REAL,2025-11-14T11:02:48
real_1,2,200,81.27,REAL,2025-11-14T11:02:48
real_1,3,200,74.47,REAL,2025-11-14T11:02:48
real_1,4,200,60.17,REAL,2025-11-14T11:02:48
real_1,5,200,64.8,REAL,2025-11-14T11:02:48
real_1,6,200,92.07,REAL,2025-11-14T11:02:48
real_1,7,200,65.09,REAL,2025-11-14T11:02:49
real_1,8,200,88.93,REAL,2025-11-14T11:02:49
real_1,9,200,82.58,REAL,2025-11-14T11:02:49
real_1,10,200,68.49,REAL,2025-11-14T11:02:49
